stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,5.35,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,6.42,0,1.07,96.28,4.28,0,6.42,0,0,0,0,0,0,0
21Day,4.02,0,2.68,1.34,0,0,0,1.34,0,1.34,0,0,1.34,0,25.43,0,5.35,50.86,1.34,0,0,4.02,0,1.34,1.34,1.34,0,0
3Month,0.32,0.32,1.6,0,0.32,0,0,43.83,0.64,0,1.28,0.64,0,0.32,3.52,0,0,0.96,0,0,0,0.96,0.64,0.32,0,0.32,1.6,0.64
22Month,0,0.55,1.64,0,0,0.55,1.09,125.18,0,0,1.09,0.55,0.55,1.09,2.73,1.09,0.55,0.55,0,0.55,0,0,0,0,0,0,0,0
