stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,2.14,0,0,0,0,0,0,0,1.07,0,0,0,0,0,7.49,0,0,0,3.21,0,0,0,1.07,0,0,0
21Day,1.34,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0.32,0.96,1.6,22.4,1.28,0.32,2.56,4.48,24,6.08,6.08,4.8,4.16,5.44,4.16,0.64,2.24,1.28,3.2,0,0.96,1.6,0.32,2.88,11.84,0.64,0,1.28,828.03,3.52
22Month,0,0,0,3.83,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,9.84,0,0,0,4.37,0.55
