stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Pancreatic_cell,Primordial_germ_cell
21Day,4.02,0,0,1.34,5.35,1.34,1.34,0,0
3Month,3.84,0,0.32,0,0,0,3.2,0.32,0.32
22Month,0.55,1.09,0,0,0,0,0,0,0
