stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,400.47,4.09,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,1.07,0,0,0,0,1.07,0,0,0,0,0,1.07,59.91,0,0,0,0,5.35,0,0,0,0,0,1.07,0,0,0
21Day,0,1.34,0,1.34,1.34,0,0,0,2.68,0,0,1.34,17.4,0,10.71,104.41,0,0,0,2.68,1.34,0,0,0,0,0,0,1.34,0,1.34
3Month,0,0,0.32,4.8,0,0.32,0,0.32,8.64,0,3.52,1.92,1.6,1.6,1.28,223.32,0.96,0.32,0.96,0.32,0,0.64,0,0,1.92,1.28,0.32,0,0.32,0.96
22Month,0,2.19,0,5.47,0,0.55,0.55,0,9.29,2.19,7.11,1.64,2.73,0.55,1.09,177.66,2.19,0.55,0,0,0,0,0.55,0.55,0,1.09,0,0,0,0.55
