stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,1.07,0,1.07,4.28,0,0,0,0,0,0,0,0,0,0,0,5.35,1.07,357.31,0,0,1.07,40.65,19.26,0,37.44,304.89,0,0,7.49,0,0,9.63,0,0
21Day,5.35,0,0,25.43,9.37,0,2.68,1.34,0,0,0,1.34,0,4.02,10.71,0,4.02,8.03,710.76,0,0,49.53,25.43,12.05,0,13.39,105.74,13.39,0,12.05,1.34,5.35,0,0,1.34
3Month,0.32,5.76,0.32,16.96,0,0.32,0,0.32,1.6,5.76,0,5.44,2.56,0,1.92,0.32,1.6,0.96,119.66,41.59,0,6.72,0.64,1.28,0,14.08,16,0,1.28,0,0,0,11.2,0.96,1.28
22Month,0.55,7.65,0,7.65,0,2.19,0,1.09,2.73,7.65,3.83,26.24,3.28,0.55,2.19,0,0.55,1.64,229.59,10.39,1.64,4.92,2.73,1.64,1.64,30.61,3.83,0.55,2.73,0.55,0,0,4.37,0,0.55
