stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,118.51,4.09,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,9.63,10.7,1.07,0,0,3.21,0,0
21Day,0,0,0,0,1.34,1.34,0,0,0,1.34,0,0,0,0,2.68,6.69,0,2.68,0,0,0,0
3Month,0.32,0,0.32,2.88,0,0,0.32,0,1.92,1.6,1.28,0.96,0.32,0.32,0.32,0.32,0.32,0,4.8,0,48.95,0.64
22Month,0,0,0.55,1.09,0,0,0.55,1.09,9.84,0,0,0,0,0,0,0,0,0,1.64,0.55,0,0
