stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,12.26,0,0,4.09,4.09,0,0,0,4.09,0,0,0,0,8.17,4.09,16.35,0,0,0,12.26,159.37,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,5.35,2.14,0,0,5.35,24.61,0,0,3.21,0,0,2.14,0,1.07,0,0
21Day,1.34,0,0,0,0,1.34,0,0,0,4.02,0,1.34,0,1.34,1.34,5.35,0,1.34,0,0,9.37,0,0,2.68,1.34,1.34,0,0,0,0,0
3Month,0.32,0,0.32,1.6,0,0,0,0,0,83.51,0.32,1.28,0.32,0.32,0,0.64,0.32,0,0.32,0,0,0.32,0,0,1.6,0.96,0,0,0,0.32,3.2
22Month,0,2.73,0,2.19,0,0,0.55,2.19,0,208.28,0.55,0.55,0,0,1.64,2.19,5.47,0,0,0,0.55,0.55,0.55,0,0,1.09,1.64,1.09,0,0,0
