stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,4.09,0
72hpf,2.14,0,0,0,0,0,0,0
21Day,4.02,0,0,0,0,0,0,0
3Month,0,0.64,0.32,0.32,0.32,0.32,0,0.32
