stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,11.77,1.07,0,3.21,0,0,0,6.42,2.14,0,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,2.68,0,0,0,0,0,2.68,0,1.34,1.34,16.06,0,0,0,5.35,8.03,0,2.68,0,6.69,0,0,0,1.34
3Month,0.32,0.32,0.96,7.04,0,3.2,0.64,0,4.8,0.32,31.99,0.64,1.6,2.56,2.24,0.64,0.96,0.64,0,0.32,0.32,0,0.96,3.84,0,0.64,6.72,0.64
22Month,0.55,0.55,3.28,1.64,0,3.28,1.09,0.55,23.51,0.55,59.04,0,0,2.73,2.73,0,0.55,0,0.55,0,0.55,0,0,4.37,0.55,0.55,0,0.55
