stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,32.69,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,2.14,5.35,0,0,5.35,2.14,1.07,0,0,2.14,0
21Day,0,6.69,0,2.68,0,0,1.34,1.34,0,1.34,0,0,1.34,1.34,0,5.35,0,0,0
3Month,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
22Month,1.09,0.55,0,0,0.55,4.37,0,1.64,0,0.55,1.09,1.64,0,0,0,0,1.64,0.55,1.09
