stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,28.6,61.3,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,0,2.14,0,0,0,0,0,0,2.14,5.35,3.21,2.14,0,0,0,32.09,12.84,1.07,3.21,0,0,2.14,1.07,0,0
21Day,4.02,1.34,0,10.71,1.34,1.34,0,0,0,0,1.34,0,0,1.34,1.34,9.37,0,0,0,28.11,2.68,0,9.37,1.34,0,0,0,0,1.34
3Month,0,0.64,0,1.28,0,0,0,0,3.84,0,0,0.32,0.32,0.64,0,0,0.32,0,0.32,0.32,0,0.32,0,0,0.96,0,0,0.96,0.64
22Month,0,1.09,0.55,1.09,0,0,0.55,1.64,12.03,1.09,0,1.64,0,0.55,0,1.09,0,0.55,0,0,0,0,0.55,0,0.55,0,0,0,0
