stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,1.92,10.56,39.99,3.2,0,0.32,59.51,7.36,0,25.6,6.4,0,1173.25,2.56,5.76,6.4,6.4,1.28,0.32,1.6,0.64,0.32,1.6,0.64,0,0.32,7.68,7.04,0.64,4.8,3.84
22Month,0,2.19,19.68,24.05,1.64,0.55,0,44.83,3.28,3.83,35.53,3.83,1.09,843.49,0,0,4.37,5.47,0,0.55,1.09,0,0,0,1.64,0.55,0.55,1.09,3.83,0,0,1.64
