stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,4.16,0,0.32,0.32,1.28,4.48,0.96,0.32,0.32,1.28,1.6,0.64,0,0.32,0.64,111.02,0.32,0.64,48.95,2.88
22Month,0,0.55,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,2.19,0.55,0,0,0
