stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,1.07,0,0,2.14,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,1.34,0,1.34,4.02,1.34,0,0,1.34,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,1.6,1.92,4.16,0,4.16,0.32,0,92.15,1.6,0.32,51.51,1.28,0.96,0.32,2.24,0,0.96,5.44,0.32,0,0.32,0,3.52,18.88,0,0.32,0.32,21.44,0.64
22Month,0.55,2.19,1.64,1.09,0,1.09,0,0.55,113.16,0.55,0,30.07,0,0,1.64,2.19,0,0,0.55,0.55,0,0,0.55,0,28.43,0,0,0,0,0
