stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,3.21,27.81,0,7.49,7.49,0,0
21Day,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0,4.02,8.03,0,14.72,2.68,0,0
3Month,0.32,1.28,0,0.32,0.64,1.28,0.64,0,0.64,0.32,0.32,0,0,11.52,0.32,0.32,0,0,0.32,0.32
22Month,0,0,0,0,1.64,3.83,0,0.55,1.64,0,0.55,0,1.09,0,0,0,0.55,0,0,0
