stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0
21Day,8.03,1.34,0,0,0,0,1.34,1.34,2.68,0,2.68
3Month,4.16,0,0,0.64,0.32,0.96,0,0.64,5.76,0,4.16
22Month,1.09,0,0.55,0.55,0.55,0,0,0.55,2.19,0,5.47
