stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,20.43,0,0,0,0,0,0,0
72hpf,5.35,1.07,3.21,3.21,0,0,0,0,0,0,9.63,1.07,2.14,0,0,1.07,890.07,18.19,1.07,1.07,9.63,0,0,8.56,1.07
21Day,1.34,0,9.37,5.35,0,0,0,0,1.34,2.68,0,0,4.02,0,0,0,196.76,8.03,0,0,2.68,5.35,0,0,2.68
3Month,0,0,0.96,0,0.32,0,1.6,0.96,0,0.32,0.32,0,0.32,0,0.32,0,0.32,0,0,0,0,0,0.64,0,0
22Month,0,1.09,1.64,0,0,1.09,12.57,3.83,0,1.09,0,0.55,0,1.09,0,0,0.55,0.55,0,0,0,0,2.19,0,0
