stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,118.51,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,5.35,5.35,0,0,0,0,0,0,0,0,0,0,10.7,0,40.65,0,0,0,1.07,697.5,31.02,0,6.42,21.4,0,0,3.21,0,0,0,0,0,0
21Day,12.05,1.34,0,10.71,10.71,0,0,0,0,0,1.34,0,0,4.02,0,4.02,1.34,108.42,0,0,16.06,0,445.73,16.06,0,69.6,9.37,6.69,4.02,6.69,1.34,5.35,1.34,0,0,2.68
3Month,0,1.92,0,2.88,0,0.32,0.32,0.32,0.64,0.32,5.44,0.64,0,1.92,0.32,0.32,1.28,9.6,0.64,0,1.92,0.32,2.88,0,0.32,23.04,0,0.32,8.32,0,0,0,0,0.32,4.16,0.64
22Month,0.55,2.73,0.55,1.09,0,0,0.55,0.55,1.64,1.09,19.68,2.73,1.09,1.09,0,0,0,6.56,0,0.55,0.55,0,1.64,0,1.64,50.29,0,0.55,3.28,0.55,0,0,0,0,0,0
