stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0.32,5.44,1.6,1.6,0,1.6,151.34,0,7.68,85.75,5.76,3.52,0.64,3.52,66.55,2.24,0.64,0.96,0.32,0,0.32,0.64,2.24,0.64,2.88,0.32,0.32,1.28,1.92,75.83
22Month,2.19,0,2.19,0.55,0.55,0.55,0.55,198.44,0.55,12.57,30.61,6.01,0,0,1.09,83.09,1.64,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0.55,57.4
