stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,7.49,0,0,0,1.07,0,0,0,0,0,0,4.28,1.07,1.07,0,0,1.07,0,8.56,4.28,0,0,0,2.14,0,4.28,0,0,0,0,0,0
21Day,0,0,0,1.34,8.03,0,0,0,0,0,0,1.34,5.35,0,0,0,1.34,5.35,0,0,0,0,5.35,1.34,0,0,0,4.02,2.68,9.37,0,0,0,0,0,5.35
3Month,0.64,4.8,2.56,30.08,8.32,1.28,0.96,6.08,16,0,52.79,14.72,2.24,23.04,1.92,17.28,14.4,15.68,2.24,0.32,4.16,8.64,2.56,0.64,3.84,2.56,0,0.96,15.04,2236.13,2.24,0.32,0.32,12.48,736.84,10.24
22Month,0,1.64,1.09,2.73,1.09,0.55,0,0.55,10.39,1.09,31.16,0.55,4.92,5.47,0,0.55,19.68,2.73,0,1.09,0,0,1.64,0.55,0.55,1.64,67.24,1.09,1.64,503.47,1.64,0,0,0,2.19,1.64
