stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,4.09,4.09,0,12.26,0,0,4.09,65.38,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,1.07,0,0,0,0,0,0,0,2.14,63.12,0,0,0,0,17.12,24.61,0,0,2.14,0,0,1.07,1.07,1.07,0,0
21Day,0,0,12.05,0,0,0,0,0,0,1.34,0,1.34,4.02,0,1.34,6.69,1.34,6.69,1.34,0,0,1.34,1.34,0,0,0,1.34,0,0
3Month,0.64,0.32,12.8,0.96,0.32,0.96,0.64,7.36,2.24,0.32,1.28,5.44,0.96,0.96,0.64,2.88,1.92,0,0,0.32,0,0,0.96,5.76,0,0,0,0.96,0.96
22Month,2.73,0,6.01,0,0,0,9.84,17.49,0,0.55,1.09,0,0.55,2.19,1.64,5.47,1.09,0,0.55,0,1.09,0,0,7.11,0.55,0,0,0.55,0.55
