stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,24.52,0,0,0,0,0,0,0,0,0,0,4.09,0,0,65.38,0,0,0,24.52,412.73,0,0,12.26,0,0,0,0,4.09,0,0,0
72hpf,5.35,1.07,0,4.28,1.07,1.07,0,1.07,0,0,0,0,2.14,0,5.35,8.56,2.14,16.05,0,0,1.07,166.89,89.86,0,1.07,12.84,2.14,0,9.63,0,0,0,0,0
21Day,6.69,2.68,0,16.06,1.34,9.37,0,1.34,0,2.68,2.68,0,17.4,1.34,0,8.03,5.35,44.17,0,0,4.02,48.19,36.14,1.34,1.34,8.03,1.34,0,5.35,1.34,0,0,0,6.69
3Month,0.32,0,0.32,11.52,0,0,0.64,0,1.6,1.28,10.56,2.88,0.64,3.84,0.32,4.16,1.92,6.4,1.92,0.32,0.64,0.96,0,1.6,0.32,0.32,0.32,5.12,0.64,0,0,1.28,1.92,5.76
22Month,0.55,0.55,0.55,2.73,0,0,0.55,0,1.09,0.55,13.12,1.09,1.09,4.92,0,0,1.64,4.92,0,0.55,1.64,1.64,0,1.09,0.55,0,0,0,0,0,0,0,0,0.55
