stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,20.43,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,13.91,1.07,6.42,0,0,1.07,0,0,1.07,4.28,14.98,1.07,6.42,0,1317.98,28.88,5.35,34.23,0,0,0,0,4.28
21Day,0,0,1.34,2.68,1.34,1.34,1.34,0,0,0,0,1.34,1.34,0,2.68,14.72,0,329.28,6.69,8.03,8.03,12.05,0,1.34,1.34,0
3Month,0,0,0,2.56,0,0,0,0,0,0,0.32,0,0,0,0.96,0.32,0,2.88,0,0.64,0,0,0.96,0,0,0
22Month,0,0,0,3.83,0,0,0,2.73,0,4.37,0,0,0,0,0,0.55,0.55,4.92,0,6.01,0,0,8.75,1.09,0,0
