stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,2.14,0,2.14,43.86,5.35,0,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,1.34,24.09,0,0,4.02,1.34,1.34,0
3Month,0,0.64,0.32,0.32,2.24,0.64,0,1.28,0,1.28,1.28,0,0.32,0,0,0,6.4,3.52
22Month,0,0,0,0.55,8.2,0,0.55,0,0,0.55,0.55,0.55,0,0.55,0.55,0,1.64,0
