stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,1.07,0,1.07,0,2.14,3.21,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,1.34,0,0
3Month,0.32,0.32,0,0.32,0,0,0.64,0.32,0.96,0,0.32,0.32,0,0.32,0.64,0,0.32,0.32
22Month,0,0,0,0,0.55,3.83,0.55,0,0,0,0,0,0,0,0,0,0,0
