stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,5.35,1.07,0,0,0,0,0,0,0,1.07,0,17.12,0,0,0,67.4,67.4,0,0,29.95,0,0,1.07,1.07,1.07,0,0
21Day,0,1.34,0,37.48,2.68,1.34,0,0,1.34,0,0,0,0,6.69,1.34,42.83,0,6.69,0,64.25,100.39,0,1.34,6.69,9.37,0,0,1.34,1.34,0,0
3Month,0.32,0.64,0.64,23.68,0.64,0,0,0.64,0.96,0,3.52,2.24,0.64,3.2,1.28,13.12,0,0.96,0.96,1.6,0.32,0,0.32,0,0.32,2.88,1.28,0,2.88,1.28,0.96
22Month,0.55,0.55,0,6.01,0,0,0.55,1.09,1.64,1.09,25.69,1.64,3.83,0,3.28,4.37,1.09,0.55,0,2.73,0,0.55,1.09,0,0,8.75,3.28,0,1.64,0,0.55
