stage,Cardiomyocyte,Endothelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4.09,0,0,4.09,16.35,0,65.38,0
72hpf,0,1.07,0,1.07,1.07,1.07,3.21,4.28,0
21Day,1.34,0,1.34,0,0,1.34,5.35,0,1.34
