stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,89.9,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,5.35,1.07,0,28.88,17.12,0,0,2.14,0,0,1.07,0,0,0,0,0
21Day,4.02,0,2.68,5.35,1.34,0,0,0,1.34,0,1.34,9.37,0,4.02,13.39,9.37,0,0,4.02,0,0,5.35,0,2.68,0,0,0
3Month,0,0.32,3.84,0,0,1.28,2.24,0,0,0.96,0.64,1.28,0,0.64,0.32,0,0.32,0.32,0,0.32,3.2,0,0.32,0,0.64,1.28,0.96
22Month,0,0.55,0,0,0,0,1.64,1.09,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
