stage,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,0,28.6,0,0
21Day,0,1.34,0,0,0,0,0,0,0,30.79,0,0,2.68,0,0
3Month,0,0.64,0,0,0,0,0.32,0,0.32,3.52,0.32,0,0,0.64,0
22Month,1.64,0,0.55,0.55,0.55,4.37,0,1.09,0,4.92,0,0.55,0,2.19,0.55
