stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,1.07,1.07,0,0,0,0,0,2.14,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,0,1.34,0,1.34,2.68,0,0,0,0,1.34,0,0,1.34,0,0,1.34,0,0,0,4.02,2.68,0,0,1.34
3Month,0.32,4.48,0.32,22.08,0.64,0.32,5.12,0.96,0.32,37.75,1.92,2.88,22.72,2.56,6.4,3.2,2.88,1.92,0,1.6,4.48,0.96,0,5.12,0.32,1.92,0.96,1.92,0,0,0,0.64,0.96,8.64
22Month,0.55,3.28,0,7.11,0.55,1.09,3.28,2.19,3.28,78.17,0.55,5.47,19.68,1.64,1.09,7.65,1.09,0,2.19,2.19,0,1.09,0,1.64,0.55,0.55,1.64,10.39,1.64,0,0,0.55,0,4.37
