stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,126.68,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,6.42,102.7,4.28,0,0,14.98,0,0,1.07,0,0
21Day,0,1.34,0,4.02,0,0,0,0,0,1.34,0,0,0,0,5.35,0,0,1.34,0,18.74,105.74,28.11,5.35,1.34,32.12,1.34,1.34,12.05,0,1.34
3Month,0.32,0.64,0.32,0,0,0.32,0.32,2.24,0.64,0,0.64,0.64,0.64,0.64,1.28,0.32,0,0,0.32,0.96,3.52,0,0,0.96,0.64,0,0,4.48,2.88,0
22Month,1.09,0,0,0,0,0,0,9.29,0,0,0.55,0,0,1.09,1.64,0,0.55,0.55,0,0,2.19,0,0,2.73,1.64,0.55,0,2.73,0,0
