stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,8.17,0,0,0,16.35,0,0,4.09,16.35,8.17,16.35,0,4.09,114.42,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,4.28,0,4.28,0,23.54,14.98,3.21,0,0,1.07,0,0
21Day,1.34,1.34,4.02,4.02,0,0,0,1.34,0,0,0,4.02,1.34,2.68,2.68,0,1.34,0,0,0,1.34
3Month,0,0,0,0,0,0,2.88,0,0,0,0.32,0,0,0,0,0,0,0.96,0,0.96,0.64
22Month,0,0.55,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0
