stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,28.88,0,0,0,1.07,0,0,1.07,1.07,0,0,0,0
21Day,0,0,10.71,1.34,0,0,0,0,0,2.68,0,2.68,4.02,10.71,5.35,0,0,76.3,2.68,1.34,0,12.05,2.68,0,1.34,5.35,20.08,1.34,0,1.34
3Month,0,0.32,3.84,0,0.96,0.96,0,7.68,0.96,0,0.64,0.32,0.64,0.64,0.96,0,0,4.48,0,0.32,0,0,0,1.28,0,0,0,0.32,6.08,0.32
22Month,2.73,0,2.19,0,0,0.55,0.55,26.79,1.09,0,2.73,0,0.55,1.09,3.83,0.55,1.09,1.09,0,0,0.55,0,0,2.73,0,0.55,0,0,0,0.55
