stage,Goblet_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,T_cell
72hpf,0,0,1.07,2.14,3.21,0,0
21Day,0,0,1.34,4.02,1.34,1.34,0
22Month,0.55,0.55,0,0,0,0,0.55
