stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,2.14,18.19,0,1.07,0,4.28,3.21,0,0,0,1.07,1.07,0
21Day,1.34,0,0,0,2.68,0,0,0,0,0,0,0,0,2.68,0,2.68,5.35,0,0,0,0,0,0
3Month,0,0,0,1.28,0,0.64,0.64,0.96,0,0.96,0,0.96,0.32,0,0,0,0.32,0,0,0.64,0,0.32,0
22Month,0.55,1.09,0.55,1.09,0,1.09,9.29,0.55,0.55,0.55,0,0,1.09,1.09,0.55,1.09,0,0.55,0.55,0,0,0,0.55
