stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,8.17,118.51,12.26,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,1.34,1.34,1.34,1.34,0,0,0,0,0,4.02,8.03,0,1.34,1.34,0,0,0,2.68,1.34,0,1.34,0,0,1.34
3Month,0,0.96,0.32,0.96,0.96,0.96,0,0,0.32,11.84,1.28,0,0,0,0,0.32,0,0,17.6,0,0,0,3.2,0.64
22Month,0,0.55,1.64,1.64,49.75,0,4.37,0,0,31.16,2.73,1.09,0.55,0,0,0.55,1.09,0,3.83,1.09,0,0.55,0,0.55
