stage,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,0,0,1.34,0,0,0
3Month,0.64,0,0,0.64,0.32,0,0.32,1.28,7.36
22Month,0,0.55,2.73,0,0,0,0,0,0
