stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,3.21,3.21,0,0,0,0,0,0,0,0,7.49,0,4.28,0,1.07,0,450.38,23.54,5.35,0,7.49,0,0,9.63,0,6.42,0,0,0
21Day,1.34,0,1.34,8.03,1.34,4.02,0,0,0,0,0,1.34,0,1.34,2.68,2.68,9.37,0,0,0,199.44,5.35,0,0,8.03,2.68,1.34,2.68,4.02,0,0,1.34,1.34
3Month,0,0.32,0,2.24,0,0,0.32,0.64,0,1.28,0,0,5.12,0,0.64,0.96,1.6,0.32,0,0.64,8.64,1.6,6.08,0.32,0,0,5.12,0,0,0,2.56,0.64,0.32
22Month,0.55,0.55,0.55,4.37,0,0,0,3.28,0.55,9.29,1.09,0,1.09,0,0.55,0.55,2.73,0,0.55,0,6.01,0,11.48,0,0,0.55,12.03,0.55,0,0,1.09,0,0
