stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,253.36,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,6.42,1.07,1.07,0,0,0,0,1.07,0,1.07,7.49,0,17.12,0,1.07,0,339.12,86.65,0,1.07,8.56,0,0,0,31.02,9.63,7.49,1.07,0,0,0
21Day,2.68,1.34,2.68,2.68,1.34,1.34,0,0,1.34,0,0,8.03,0,5.35,0,12.05,0,0,0,56.22,26.77,0,0,0,6.69,0,0,5.35,2.68,2.68,0,0,0,0
3Month,0,0.32,0,3.52,0,0,1.92,0.64,2.56,0.64,0.32,30.4,0,3.52,0.32,0.96,0.64,0,0.64,0.32,0,0.32,0,0,0.32,0.32,0.96,0.32,0,0,0.32,0.32,1.92,0.32
22Month,0,1.64,1.09,2.19,0,0,2.73,2.19,13.67,0,1.09,39.36,0,1.09,1.09,1.64,0,0,0,1.09,0,0.55,0,0,0,0,1.09,6.01,0.55,0,0,0,0,0
