stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,20.43,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,4.28,6.42,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,2.68,5.35,0,0,0,0,0,0,0,0,0
3Month,0.96,0,15.68,0.32,0,0.32,1.28,0.96,16,2.56,0.32,12.48,0.96,3.52,1.92,3.2,0.32,0.32,0.96,0.32,1.28,0,0.96,1.6,0.64,1.6,9.92,0.64,1.28,566.63,1.6
22Month,0.55,0.55,2.19,0,0,0.55,0,1.64,15.31,0,0,3.83,0.55,0.55,2.19,0,0,0.55,0,0,0.55,0,0,0,0,0,5.47,0,0,4.37,0
