stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,36.78,4.09,0,0,0,0,0,0,0,0,0,4.09,44.95,0,0,0,49.04,588.44,0,0,8.17,0,0,0,0,0,4.09,0,0,0
72hpf,14.98,4.28,0,17.12,8.56,5.35,0,0,0,0,0,0,7.49,8.56,0,29.95,0,0,0,765.97,155.12,1.07,2.14,23.54,0,0,22.47,1.07,6.42,1.07,0,0,0
21Day,9.37,4.02,0,32.12,4.02,9.37,1.34,0,0,1.34,0,1.34,2.68,24.09,2.68,52.2,0,12.05,0,310.54,74.96,1.34,6.69,21.42,9.37,0,9.37,5.35,8.03,1.34,0,0,0
3Month,0,0,0.32,2.56,0,0,0,0.64,0,1.6,0.64,0.32,0.32,3.2,0.96,1.6,0,0.32,0.32,0.32,0,0.32,0.32,0,0,0.96,0,0,0,0,0.96,0.32,1.28
22Month,0,1.09,1.09,1.64,0,0,0,0,1.09,13.67,0.55,0.55,0,1.64,1.09,3.83,0.55,2.19,0,0.55,0,1.64,1.09,0,0,1.09,0.55,0,0,0,0,0,0.55
