stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,0,16.35,0,0,0,0,0,0,0,0,0,4.09,8.17,8.17,143.02,0,0,0,53.12,1990.08,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,12.84,5.35,1.07,0,0,0,1.07,0,0,0,2.14,12.84,0,81.3,0,2.14,1.07,512.43,252.47,0,4.28,92,0,0,62.05,2.14,0,1.07,0
21Day,5.35,0,4.02,0,5.35,0,0,1.34,0,0,0,5.35,0,1.34,2.68,125.82,0,0,0,120.47,38.82,0,2.68,25.43,12.05,0,14.72,0,4.02,1.34,1.34
3Month,0,0.32,3.84,0,0,0.32,0.32,1.6,0,5.44,0.32,1.6,0,1.28,0.32,19.84,1.6,0,0,1.6,0.32,0.32,0.64,0,0.32,0.64,0.64,0,0,0,0.32
22Month,0,0,2.73,0,0,1.09,0,0,1.09,18.04,0,2.73,0,0.55,1.64,16.4,0.55,1.09,1.09,2.19,0.55,0.55,0,0.55,0.55,3.28,0,0,0,0,0.55
