stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,4.09,0,0,0,8.17,4.09,0,0
72hpf,1.07,0,1.07,0,1.07,2.14,1.07,1.07,1.07
21Day,0,4.02,0,0,0,0,1.34,2.68,0
3Month,0,0.64,0,0.32,0,0,0,0,1.28
22Month,0,0,0,0,0,0,0,0,1.64
