stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,12.26,0,0,0,0,0,0,0,0,0,0,49.04,4.09,16.35,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,8.56,0,16.05,0,0,0,0,0,0,0,0,0,2.14,92,0,4.28,0,1.07,0,0,5.35,6.42,0,3.21,0,0,0,0,1.07,0,0,0
21Day,2.68,4.02,4.02,76.3,4.02,0,2.68,0,0,0,0,4.02,5.35,1.34,52.2,8.03,28.11,0,0,2.68,0,2.68,4.02,0,4.02,5.35,0,0,1.34,0,0,0,0
3Month,0,4.16,0.64,23.04,0,0.32,2.24,1.92,0,24.64,2.88,0.64,5.76,1.6,41.27,3.84,5.12,1.6,0,0.96,0.64,0.64,0.32,0.96,0.64,1.28,6.72,0,0,0.32,0.32,1.92,1.28
22Month,0,4.37,1.09,8.2,0,0,1.09,2.19,4.92,47.56,3.28,0.55,7.65,0.55,9.29,6.01,6.56,0.55,1.09,0.55,0,0,0.55,1.64,0,1.09,0,0.55,0,0,0.55,0,0.55
