stage,Endothelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,24.52,0,0
72hpf,0,5.35,0,0,0,0,0,0,0,4.28,3.21,0,0
21Day,0,4.02,0,0,0,0,0,1.34,0,0,0,1.34,0
3Month,0,0,0,0.32,0,0,0.32,0,0.64,0,0,0,0.32
22Month,0.55,0,0.55,0,1.09,10.39,0,0,0.55,0,0,0,0
