stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,8.56,3.21,0,0,1.07,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,1.34,1.34,4.02,0,9.37,0,1.34,0,1.34,0,0,0
3Month,0.32,2.24,0,0.32,0,0.32,0,4.16,0.32,0,0,0,0.96,0.32,0.32,0.32,0.32,0,0,5.12,0.32,0.64
22Month,0,0.55,0,0.55,0.55,1.64,1.09,7.65,0,1.64,0,1.64,1.09,0,0.55,0,0,2.73,0,0.55,0,0
