stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,16.35,0,4.09,0,4.09,12.26,0,12.26,81.73,4.09
72hpf,1.07,1.07,1.07,0,0,0,1.07,1.07,4.28,4.28,0
21Day,0,0,0,0,1.34,0,1.34,0,1.34,0,0
3Month,0,0.64,0,0.32,0,0,0,0,0,0,0
