stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,32.69,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,3.21,9.63,9.63,1.07,1.07,2.14,0
21Day,1.34,2.68,2.68,2.68,0,1.34,2.68,0,4.02,9.37,6.69,0,0,0,2.68
3Month,0,0.64,0,0,0.32,0,0,0.32,0,0,0,0,0,0,0
