stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,7.49,1.07,0,0,3.21,0,0,3.21,0,0,0,0
21Day,0,1.34,1.34,4.02,0,0,0,0,0,0,0,5.35,0,1.34,0,0,0,0,2.68,0,0,0,0,0,1.34,0,0,5.35,1.34,0,10.71,0,0,2.68,2.68
3Month,0,3.52,2.24,37.43,0.96,1.28,0.32,0.32,9.28,14.08,0.32,95.66,24,1.28,28.16,2.24,8.64,8.64,8.32,2.56,0.32,3.84,8,2.24,0,2.24,0.96,0,8.64,0.32,774.92,0.64,7.04,1351.15,12.16
22Month,0,10.93,0,31.16,0,0.55,0,0,6.01,28.97,1.64,99.49,16.95,0.55,18.04,0,1.09,7.11,7.65,0.55,4.92,1.64,1.64,0.55,0,0.55,0.55,0.55,1.09,0,62.32,1.09,1.09,2.73,11.48
