stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,3.21,1.07,0,0,2.14,0,0,0,0,0,0
21Day,4.02,0,1.34,2.68,0,0,0,0,0,1.34,0,2.68,0,0,1.34,1.34,2.68,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,0.32,1.6,4.16,0.64,0.32,1.6,2.56,0,494,3.84,0.64,8.32,1.92,1.92,3.52,2.88,0.32,0.96,0.64,2.24,0,0,0.64,0.32,0,5.12,3.84,0,0,0.64,3.2
22Month,0.55,0.55,2.19,4.37,2.19,0.55,2.19,7.11,1.09,905.81,7.65,0.55,17.49,2.73,1.09,8.2,4.37,0,10.39,1.09,0,0,0,2.19,0,0,2.19,1.64,0.55,0.55,0,3.28
