stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,4.09,0,0,8.17,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,2.14,0,3.21,0,0,0,0,0,0,2.14,0,2.14,1.07,0,5.35,1.07,0,23.54,12.84,0,0,5.35,0,0,2.14,0,0,0,0,0
21Day,0,0,1.34,4.02,0,1.34,0,0,0,0,0,0,0,0,0,0,0,5.35,1.34,0,13.39,1.34,0,0,0,0,0,0,1.34,0,0,0,2.68
3Month,0.32,1.28,0.96,14.72,0.32,0,2.88,6.4,0,0,14.4,2.88,0.32,6.4,0.32,8.32,0.32,3.52,1.28,1.28,0.32,0.32,0.64,2.24,0.32,1.6,11.84,0,0,0.32,1.92,153.9,3.2
22Month,0,1.64,0.55,2.73,0,0,0,6.56,0.55,0,25.15,0.55,1.09,2.73,0.55,0.55,3.28,1.64,0,0,0.55,0,0,1.64,0,0,1.09,0,0.55,0,0,0,0.55
