stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,8.17,40.86,0,0,0,8.17,187.97,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,8.56,5.35,3.21,3.21,0,1.07,0,0,0,0,0,0,2.14,4.28,0,26.74,0,1.07,0,37.44,60.98,1.07,1.07,17.12,2.14,0,2.14,1.07,0,0,0
21Day,5.35,0,14.72,0,28.11,0,5.35,0,0,1.34,0,5.35,0,0,6.69,2.68,20.08,0,0,1.34,5.35,9.37,1.34,1.34,2.68,1.34,0,0,0,0,0,9.37
3Month,0,0.32,6.08,0,0,0.32,0,1.6,0,2.24,1.6,1.6,0.96,0,0.32,0.96,0.96,0.32,0,0.32,0.32,0.32,0.32,0,0.32,0,14.4,0,0,1.92,1.92,13.44
22Month,0,0.55,0,0,0,0,0,1.64,1.09,3.28,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
