stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,4.09,8.17,0,0,0,0
72hpf,0,0,0,1.07,1.07,4.28,0,0,0,1.07,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,0,0.32,0.32,0,0,0,1.28,0,2.56
22Month,0,0,0.55,0,0,0,0,0.55,0,0,0
