stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,5.35,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.64,0,8.64,0.96,0.32,0.64,0,0,81.91,0.96,0,4.16,0.32,0.64,0.96,2.24,0.96,0,0.64,0.64,0,0.32,2.56,0,0,2.24,5.12,0.96,0.96
22Month,0,1.64,1.64,4.37,0.55,0,0.55,5.47,2.19,439.51,2.73,0.55,4.37,0,0.55,2.19,2.19,0,4.92,1.64,0,0,0,1.09,0.55,1.64,0,0.55,2.19,1.64
