stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,4.09,20.43,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,8.56,4.28,0,1.07,0,0,4.28,0,0
21Day,1.34,0,1.34,1.34,0,0,0,0,0,0,1.34,1.34,4.02,1.34,0,4.02,1.34,0,1.34,0,0,0,0,0
3Month,0,0.32,1.6,0,0.32,0,4.16,1.6,1.28,0,0,0.32,14.72,0.32,0.32,0,0,0.32,0,0.32,1.28,0,0.32,5.44
22Month,0,1.09,0,0,0,0.55,3.28,0.55,0.55,1.09,0,0,2.73,0.55,0,0,0,0,0,0,0,0,0,0
