stage,Endothelial_cell,Hepatocyte,Osteoblast,Retinal_cell,T_cell
72hpf,0,0,3.21,0,0
21Day,0,0,0,1.34,1.34
3Month,0,0,0,0,0.96
22Month,0.55,1.64,0,0,0.55
