stage,Cardiomyocyte,Endothelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,4.28,0,2.14,0,0,1.07,1.07,2.14,6.42,5.35,1.07,2.14,0,0,0
21Day,1.34,1.34,0,0,0,0,1.34,2.68,10.71,2.68,0,0,0,1.34,0
3Month,0,0,0,1.28,0.64,0.32,0.32,0.64,0.32,0,0,0,0.32,0,0
22Month,0,0,0,2.19,0,0,0,0.55,0,0,0,0,0,0,0.55
