stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,5.35,0,0,0,1.07,0,1.07,0,0,0,0,0
21Day,1.34,0,24.09,0,0,0,0,0,2.68,0,1.34,0,1.34,1.34,0,1.34,0,1.34,0,0
3Month,0,0.96,33.27,0.96,0,1.92,0.64,3.2,0.64,0.32,0.32,0.32,0.32,0,0,0,7.68,0,1.6,0
22Month,0,0,22.96,0,0.55,2.73,0,1.64,0,0,0,0,0,0,0,0,4.92,0,0,2.19
