stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,16.35,20.43,0,0,0,0
72hpf,1.07,0,2.14,8.56,1.07,0,0,0,1.07,0,0,0,0,1.07,6.42,0,0,2.14,1.07,2.14,2.14,0,0,0
21Day,0,0,8.03,1.34,0,0,1.34,0,0,0,0,1.34,0,0,2.68,0,2.68,0,2.68,0,8.03,0,0,1.34
3Month,0,0,3.84,0,0,0,0,1.92,0,0,0.32,0,0.32,0.32,1.92,0,0.32,0,0,0,10.24,0.32,0.32,0
22Month,0,0.55,36.63,0,0,1.09,0,4.92,1.09,3.83,1.64,0,0.55,0,0.55,1.64,1.09,0,0.55,0.55,33.35,0,0,3.28
