stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,40.86,0,0,0,0,0,0,4.09,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,28.88,0,0,0,0,0,0,0,0,0,0,0,12.84,3.21,1.07,0,0,0,5.35,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,50.86,10.71,0,0,0,0,0,0,0,0,4.02,0,0,28.11,17.4,1.34,0,2.68,0,4.02,0,0,0,0,1.34,2.68,0,0,8.03
3Month,0,0.32,0.64,42.55,0,0,0.32,20.48,6.72,0.32,0,7.04,1.92,0,22.4,1.6,20.16,16.32,0.32,0.96,0.32,13.12,0.64,0.32,0.32,0,0.32,1.28,3.52,0.32,0.32,14.4
22Month,0,2.19,2.73,14.76,0,0.55,0,7.11,59.04,1.09,0,21.32,3.28,1.09,26.79,0,2.73,41.55,1.64,0,1.09,1.09,0,1.64,0,2.73,0,0,2.73,0,0,5.47
