stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,11.77,6.42,0,17.12,4.28,9.63,1.07,0,1.07,0,0,0,2.14,0,14.98,62.05,3.21,46,0,3.21,5.35,2.14,314.52,154.05,1.07,3.21,66.33,4.28,1.07,33.16,2.14,2.14,7.49,0
22Month,0.55,1.64,1.09,14.76,0,0,0,7.11,5.47,2.73,88.01,4.37,2.19,5.47,0,4.37,13.67,7.65,1.09,0.55,3.28,1.09,0.55,0,2.73,1.09,0,0,0,0.55,0,0,0,5.47
