stage,Cardiomyocyte,Epithelial_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,5.35,0
21Day,0,1.34,0,0,1.34,0,0
3Month,0,1.28,0.32,0.32,0,0,0.32
