stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,1.34,1.34,0,1.34,0,0,0,0
3Month,0.32,0.32,2.24,0.96,0.64,7.68,1.6,0.64,0.64,0.96,1.92,0.64,0.32,0,0.32,0,0.32,44.15,0.32,0,0.64,0.64,22.72,0.64
22Month,0,0,0,0.55,0,2.19,0,0.55,0,0,0,0,0,0,0,1.64,0,2.73,0,0,0,0,0,0
