stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,3.21,0,0,0,0,0,0,0,0,1.07,4.28,0,2.14,0,0,0,18.19,8.56,0,0,1.07,0,0,2.14,0,0,0
21Day,0,0,4.02,0,5.35,1.34,0,0,0,1.34,0,1.34,0,1.34,2.68,1.34,0,0,0,0,10.71,0,0,0,0,0,0,1.34,0,0,0
3Month,0,1.92,10.24,0,0,0,2.88,3.52,0.32,41.59,1.92,0,4.8,1.92,2.24,3.84,4.48,0,1.28,0.64,0.32,0,0.32,0.64,0,1.28,6.08,0.32,1.28,7.04,2.24
22Month,0,0,3.83,0,0,0,0.55,3.83,1.09,36.63,1.09,0,2.19,0,0,2.19,1.64,1.09,0.55,0,0.55,0,1.09,0,0,0,0,0.55,0,0,0
